date,ticker,sector,headline,description
2026-02-27,PFE,Healthcare,Pfizer acquires oncology biotech for $8 billion,Deal adds three late-stage cancer drug candidates to Pfizer pipeline.
2026-02-25,ABBV,Healthcare,AbbVie Humira biosimilar impact smaller than expected,Patent cliff erosion slows as newer immunology drugs offset Humira revenue decline.
2026-03-04,MRK,Healthcare,Merck Keytruda sales surpass $30 billion annual run rate,Blockbuster cancer drug continues to expand into new tumor types and combinations.
2026-03-02,LLY,Healthcare,Eli Lilly obesity drug Mounjaro demand outpaces supply,Manufacturing expansion underway as GLP-1 prescriptions reach record levels.
2026-02-28,TMO,Healthcare,Thermo Fisher wins large-scale bioprocessing contract,Multi-year agreement with top pharma company for biologics manufacturing support.
2026-02-26,ABT,Healthcare,Abbott continuous glucose monitor gains market share,FreeStyle Libre 4 captures record 60% of new CGM prescriptions in the US.
2026-03-06,KO,Consumer,Coca-Cola raises full-year guidance on strong pricing,Price increases in emerging markets offset modest volume declines in developed economies.
2026-03-04,PG,Consumer,Procter & Gamble launches direct-to-consumer platform,New e-commerce channel offers personalized product bundles and subscription services.
2026-03-02,PEP,Consumer,PepsiCo snack division outperforms beverages in Q1,Frito-Lay North America posts 6% organic revenue growth despite consumer spending concerns.
2026-02-28,COST,Consumer,Costco membership renewal rate hits 93% globally,Warehouse club loyalty remains strong as consumers prioritize value shopping.
2026-02-26,WMT,Consumer,Walmart e-commerce sales grow 22% year-over-year,Online grocery and marketplace expansion drive digital revenue acceleration.
2026-03-05,MCD,Consumer,McDonald's launches AI-powered drive-through nationwide,Automated ordering system reduces wait times by 30 seconds on average.
2026-03-03,NKE,Consumer,Nike direct sales growth slows as wholesale rebounds,Brand shifts strategy back toward retail partnerships after direct-to-consumer plateau.
2026-03-01,SBUX,Consumer,Starbucks China recovery gains momentum,Same-store sales turn positive in China as consumer confidence improves.
2026-03-07,XOM,Energy,Exxon boosts Permian Basin output to record levels,New drilling techniques and acquisitions push production past 2 million barrels per day.
2026-03-05,XOM,Energy,Exxon invests $5 billion in carbon capture projects,Major commitment to CCS technology as part of energy transition strategy.
2026-03-03,CVX,Energy,Chevron completes Hess acquisition after regulatory approval,Combined entity becomes largest US oil producer with significant Guyana assets.
2026-03-01,CVX,Energy,Chevron cuts capital spending amid oil price uncertainty,Budget reduction of 10% reflects cautious outlook on near-term crude prices.
2026-02-27,CAT,Industrials,Caterpillar backlog reaches $30 billion on infrastructure spending,Government infrastructure programs drive sustained demand for construction equipment.
2026-02-25,CAT,Industrials,Caterpillar raises prices 5% on construction equipment,Input cost inflation and strong demand support pricing power across product lines.
2026-03-06,GE,Industrials,GE Aerospace jet engine orders surge on air travel recovery,Commercial aviation fleet renewal drives record order book for LEAP engines.
2026-03-02,GE,Industrials,GE Vernova wind turbine margins improve,Offshore wind division turns profitable as supply chain costs normalize.
2026-03-07,SPY,ETF,S&P 500 reaches new all-time high above 6500,Broad market rally driven by strong earnings season and easing inflation expectations.
2026-03-05,QQQ,ETF,Nasdaq-100 outperforms on AI spending boom,Technology sector leadership continues as AI infrastructure investment accelerates.
2026-03-03,ARKK,ETF,ARK Innovation ETF rebounds 15% year-to-date,Growth and speculative tech stocks rally as interest rate cuts boost valuations.
2026-02-28,IWM,ETF,Small-cap stocks lag large-caps in Q1,Russell 2000 underperforms as regional banks and small manufacturers face margin pressure.
2026-02-25,DIA,ETF,Dow Jones Industrial Average hits record on industrial strength,Manufacturing renaissance and infrastructure spending lift blue-chip industrial stocks.
